ministerio,area,proyecto,enlace,tipo_ayuda,evento,bajada
Ministerio de Educación,DG Tecnología Educativa,Hackaton Programá tu Futuro,https://www.flickr.com/photos/gcbadata/albums/72157647367844461/with/14995188519/,Producto,,"Aprender a programar hoy es el hobbie de muchos chicos, por eso junto al Ministerio de Educación de la Ciudad, reunimos a más de 500 alumnos de las escuelas públicas para fomentar el aprendizaje sobre diferentes herramientas de programación y nuevos lenguajes de códigos."
Ministerio de Cultura,Ente de Turismo,Open Space Turismo,,Producto,,"Generamos espacios de conversación que permitieron mejorar las actuales políticas implementadas por el Ente de Turismo, incorporando la mirada del sector en los segmentos gastronómico, joven, reuniones y LGBT. "
Ministerio de Ambiente y Espacio Público,DG Recuperación Urbana,Reproted,,Producto,,Producto ganador del Concurso BAIoT que mide vibraciones en tiempo real.
Sociedad Civil,Programa Innovadores Residentes,Reproted,https://drive.google.com/file/d/0B3eO9Du6blIkMHk3VjlZY3JZX3c/view?usp=sharing,Producto,,Producto ganador del Concurso BAIoT que mide vibraciones en tiempo real.
Ministerio de Salud,Coordinación SIDA,Seguimiento de Pacientes con VIH,http://huesped.morfeo.urltemporal.com/,Producto,BA Ciudad Abierta,"Prototipo diseñado en conjunto por Fundación Huésped, Hospital Rivadadia y Ministerio de Salud para realizar seguimiento de los pacientes con VIH"
Sociedad Civil,Fundación Huésped; Programa Innovadores Residentes,Seguimiento de Pacientes con VIH,http://huesped.morfeo.urltemporal.com/,Producto,BA Ciudad Abierta,"Prototipo diseñado en conjunto por Fundación Huésped, Hospital Rivadadia y Ministerio de Salud para realizar seguimiento de los pacientes con VIH"
Subterráneos de Buenos Aires,Gerencia Corporativa y Comercial,Sensores SBASE,,Asesoría y Colaboración,,Asesoramiento y pruebas para sensorizar las escaleras mecánicas de la red de subterráneos.
Ministerio de Ambiente y Espacio Público,DG Recuperación Urbana,Sensorización de Flota,,Asesoría y Colaboración,,Asesoramiento para la sensorización de la flota automotriz de Higiene Urbana.
Jefatura de Gabinete,Subsecretaría de Transporte; Unidad de Evaluación de Proyectos,Transporte Orientado al Desarrollo,https://drive.google.com/file/d/0B_0md5pNlmsEX05mSUdnYVNrYlU/view?usp=sharing,Producto,,"Herramienta para visualizar dinámicamente las características de la población, en relación a los sistemas de transporte, aportando información útil para la toma de decisiones."
Ministerio de Desarrollo Urbano,DG Planeamiento Urbano,Transporte Orientado al Desarrollo,https://drive.google.com/file/d/0B_0md5pNlmsEX05mSUdnYVNrYlU/view?usp=sharing,Producto,,"Herramienta para visualizar dinámicamente las características de la población, en relación a los sistemas de transporte, aportando información útil para la toma de decisiones."
Sociedad Civil,Programa Innovadores Residentes,Transporte Orientado al Desarrollo,https://drive.google.com/file/d/0B_0md5pNlmsEX05mSUdnYVNrYlU/view?usp=sharing,Producto,,"Herramienta para visualizar dinámicamente las características de la población, en relación a los sistemas de transporte, aportando información útil para la toma de decisiones."
Ministerio de Ambiente y Espacio Público,Agencia de Protección Ambiental,Varix,https://drive.google.com/file/d/0B3eO9Du6blIkMnR1ZF9BMjJ2T0U/view?usp=sharing,Producto,BAIoT,Varix fue uno de los proyectos ganadores del concurso BA IoT que hoy ya funciona en la Ciudad y permite mejorar la calidad de vida mediante el conocimiento en tiempo real de las condiciones ambientales. 
Sociedad Civil,Programa Innovadores Residentes,Varix,https://drive.google.com/file/d/0B3eO9Du6blIkMnR1ZF9BMjJ2T0U/view?usp=sharing,Producto,BAIoT,Varix fue uno de los proyectos ganadores del concurso BA IoT que hoy ya funciona en la Ciudad y permite mejorar la calidad de vida mediante el conocimiento en tiempo real de las condiciones ambientales. 
